id,servo_pwm,motor_pwm,bateria,acc_x,acc_y,acc_z,gyro_x,gyro_y,linea,temperatura,gps_lat,gps_lon,altitud,velocidad
3,1500,1500,8.03,0.59,-0.51,9.92,-5.79,-0.51,0,48.9,0.0,0.0,0.0,0.0
4,1500,1500,8.0,0.56,-0.46,9.94,-5.89,-0.46,0,48.9,0.0,0.0,0.0,0.0
5,1500,1500,8.05,0.61,-0.49,9.89,-5.83,-0.49,0,48.5,0.0,0.0,2582.0,0.0
6,1500,1500,8.06,0.61,-0.56,9.92,-5.9,-0.56,0,48.5,4.68311,-74.04253,2577.0,0.0
7,1500,1500,8.07,0.61,-0.43,9.99,-5.74,-0.43,0,48.5,4.68312,-74.04252,2577.0,1.2
8,1500,1500,8.05,0.58,-0.5,9.93,-5.82,-0.5,0,48.4,4.68311,-74.04253,2577.0,0.9
9,1500,1500,8.07,0.66,-0.49,9.94,-5.92,-0.49,0,48.3,4.6831,-74.04257,2577.0,2.5
10,1500,1500,8.06,0.61,-0.47,9.9,-5.83,-0.47,0,48.3,4.6831,-74.04257,2577.0,2.5
11,1500,1500,8.05,0.58,-0.46,9.89,-5.9,-0.46,0,48.1,4.6831,-74.04257,2583.0,2.5
12,1500,1500,8.05,0.61,-0.54,9.95,-5.76,-0.54,0,48.2,4.6831,-74.04257,2583.0,2.5
13,1500,1500,8.04,0.57,-0.52,9.97,-6.02,-0.52,0,48.3,4.6831,-74.04257,2582.0,2.5
14,1500,1500,8.05,0.63,-0.54,9.86,-5.83,-0.54,0,47.8,4.68309,-74.04258,2581.0,0.2
15,1500,1500,8.05,0.63,-0.52,9.86,-5.94,-0.52,0,48.1,4.68309,-74.04258,2581.0,0.1
16,1500,1500,8.06,0.59,-0.52,9.92,-6.06,-0.52,0,48.1,4.68309,-74.04258,2581.0,0.1
17,1500,1500,8.0,0.62,-0.5,9.89,-5.8,-0.5,0,48.2,4.68309,-74.04258,2581.0,0.1
18,1500,1500,8.05,0.58,-0.47,9.99,-5.99,-0.47,0,48.2,4.68309,-74.04258,2581.0,0.1
19,1500,1500,8.06,0.62,-0.51,9.95,-6.01,-0.51,0,47.8,4.68309,-74.04258,2580.0,0.1
20,1500,1500,8.05,0.64,-0.51,9.95,-5.94,-0.51,0,47.8,4.68309,-74.04258,2580.0,0.1
21,1500,1500,8.05,0.61,-0.49,9.98,-5.78,-0.49,0,47.6,4.68309,-74.04258,2580.0,0.1
22,1500,1500,8.05,0.59,-0.45,9.96,-5.96,-0.45,0,47.9,4.68309,-74.04258,2580.0,0.1
23,1500,1500,8.04,0.6,-0.55,9.77,-5.8,-0.55,0,47.9,4.68309,-74.04257,2580.0,0.3
24,1500,1500,8.05,0.61,-0.5,9.86,-6.0,-0.5,0,48.0,4.68309,-74.04257,2580.0,0.0
25,1500,1500,8.06,0.59,-0.48,9.9,-5.9,-0.48,0,47.8,4.68309,-74.04257,2580.0,0.1
26,1500,1500,8.06,0.66,-0.47,9.92,-5.9,-0.47,0,48.0,4.68309,-74.04256,2580.0,0.4
27,1500,1500,8.07,0.62,-0.54,9.92,-5.7,-0.54,0,47.8,4.68309,-74.04256,2580.0,0.4
28,1500,1500,8.05,0.62,-0.51,9.97,-5.96,-0.51,0,47.8,4.68309,-74.04256,2580.0,0.4
29,1500,1500,8.05,0.57,-0.45,9.86,-5.72,-0.45,0,48.0,4.68309,-74.04256,2579.0,0.4
30,1500,1500,8.07,0.57,-0.51,9.9,-5.58,-0.51,0,48.0,4.68309,-74.04256,2579.0,0.4
31,1500,1500,8.05,0.49,-0.51,9.86,-5.86,-0.51,0,47.8,4.6831,-74.04256,2579.0,0.3
32,1500,1500,8.05,0.57,-0.46,10.0,-5.91,-0.46,0,47.8,4.6831,-74.04256,2579.0,0.1
33,1500,1500,8.06,0.55,-0.52,9.92,-5.8,-0.52,0,47.7,4.6831,-74.04256,2579.0,0.2
34,1500,1500,8.07,0.57,-0.47,9.85,-5.9,-0.47,0,47.9,4.6831,-74.04256,2579.0,0.4
35,1500,1500,8.0,0.59,-0.52,9.93,-5.98,-0.52,0,47.9,4.6831,-74.04256,2579.0,0.4
36,1500,1500,8.07,0.62,-0.51,9.87,-6.03,-0.51,0,47.7,4.6831,-74.04256,2578.0,0.4
37,1500,1500,8.07,0.71,-0.41,10.03,-5.96,-0.41,0,47.8,4.6831,-74.04256,2578.0,0.4
38,1500,1500,8.07,0.57,-0.49,9.86,-5.83,-0.49,0,48.0,4.6831,-74.04256,2578.0,0.4
39,1500,1500,8.0,0.64,-0.49,9.89,-5.92,-0.49,0,47.8,4.6831,-74.04256,2578.0,0.0
40,1500,1500,8.05,0.6,-0.5,9.93,-5.97,-0.5,0,47.5,4.6831,-74.04256,2578.0,0.0
41,1500,1500,8.08,0.63,-0.49,9.91,-6.12,-0.49,0,47.8,4.6831,-74.04256,2578.0,0.0
42,1500,1500,8.05,0.53,-0.51,9.92,-5.93,-0.51,0,48.2,4.6831,-74.04256,2578.0,0.0
43,1500,1500,8.05,0.57,-0.48,9.93,-6.06,-0.48,0,47.8,4.6831,-74.04256,2578.0,0.0
44,1500,1500,8.06,0.59,-0.42,9.87,-5.96,-0.42,0,47.6,4.6831,-74.04256,2577.0,0.0
45,1500,1500,8.07,0.63,-0.44,9.92,-6.15,-0.44,0,47.9,4.6831,-74.04256,2577.0,0.0
46,1500,1500,8.07,0.63,-0.51,9.97,-5.97,-0.51,0,47.8,4.6831,-74.04256,2577.0,0.0
47,1500,1500,8.07,0.55,-0.47,9.91,-6.02,-0.47,0,47.6,4.68311,-74.04256,2577.0,0.0
48,1500,1500,8.0,0.56,-0.49,9.94,-6.03,-0.49,0,47.7,4.68311,-74.04255,2577.0,0.0
49,1500,1500,8.07,0.6,-0.5,9.88,-5.96,-0.5,0,47.4,4.68311,-74.04256,2577.0,0.4
50,1500,1500,8.07,0.65,-0.54,9.95,-5.84,-0.54,0,47.6,4.68311,-74.04256,2577.0,0.3
51,1500,1500,8.05,0.62,-0.47,9.88,-5.93,-0.47,0,47.4,4.68311,-74.04256,2577.0,0.0
52,1500,1500,8.05,0.58,-0.54,9.93,-6.05,-0.54,0,47.4,4.68311,-74.04256,257.0,0.0
53,1500,1500,8.04,0.55,-0.51,9.91,-6.0,-0.51,0,47.5,4.68311,-74.04256,2578.0,0.0
54,1500,1500,8.05,0.64,-0.5,9.73,-6.08,-0.5,0,47.5,4.68311,-74.04256,2578.0,0.0
55,1500,1500,8.05,0.63,-0.52,9.86,-6.12,-0.52,0,47.5,4.68311,-74.04256,2578.0,0.0
56,1500,1500,8.07,0.61,-0.53,9.89,-6.07,-0.53,0,47.5,4.68311,-74.04257,2578.0,0.0
57,1500,1500,8.05,0.63,-0.48,9.9,-6.0,-0.48,0,47.6,4.68311,-74.04257,2578.0,0.1
58,1500,1500,8.04,0.58,-0.44,9.9,-6.09,-0.44,0,47.4,4.68311,-74.04257,2578.0,0.2
59,1500,1500,8.07,0.56,-0.52,9.92,-5.95,-0.52,0,47.2,4.68311,-74.04257,2578.0,0.0
60,1500,1500,8.07,0.53,-0.45,9.98,-6.0,-0.45,0,47.5,4.68311,-74.04257,2581.0,0.0
61,1500,1500,8.07,0.6,-0.36,9.93,-6.0,-0.36,0,47.4,4.68311,-74.04257,2582.0,0.0
62,1500,1500,8.05,0.65,-0.46,9.87,-5.96,-0.46,0,47.6,4.68311,-74.04257,2582.0,0.0
63,1500,1500,8.05,0.55,-0.5,9.81,-5.9,-0.5,0,47.6,4.68312,-74.04257,2582.0,0.0
64,1500,1500,8.05,0.59,-0.53,9.92,-6.11,-0.53,0,47.5,4.68312,-74.04257,2582.0,0.0
65,1500,1500,8.07,0.62,-0.45,9.94,-6.03,-0.45,0,47.4,4.68312,-74.04257,2582.0,0.1
66,1500,1500,8.08,0.64,-0.51,9.96,-5.79,-0.51,0,46.8,4.68312,-74.04257,2582.0,0.0
67,1500,1500,8.08,0.74,-2.17,10.63,7.28,-2.17,0,41.4,4.68312,-74.04258,2582.0,0.3
68,1500,1500,8.04,1.17,-3.38,9.87,34.38,-3.38,0,49.6,4.68312,-74.04258,2582.0,0.3
